state,fetched_at,mean_temp_00,mean_temp_01,mean_temp_02,mean_temp_03,mean_temp_04,mean_temp_05,mean_temp_06,mean_temp_07,mean_temp_08,mean_temp_09,mean_temp_10,mean_temp_11,annual_prcp,temp_range,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
HI,1749951989.8152075,68.5546875,68.25234375,69.0609375,69.20978260869566,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,54.68760618762528,36.13843686868687,-289.2460479956694,-62.06459884445657,123.13689953545244,-320.65262192087863,-11.005270413260202,-57.765764246734214,-366.9296931769729,-156.39484163517258
ID,1749951989.8152075,25.06730769230769,28.612500000000004,38.160635080645164,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,41.86258522707821,47.20612917637918,73.22439213324728,48.54209383236346,-140.20164821448026,21.31078737909194,-77.08400008990785,87.54478054573056,51.97423430557139,7.581716048355759
IL,1749951989.8152075,25.86368715083799,30.21153846153846,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,45.191067057048116,46.40974971784888,42.61717283637711,24.24553434327125,-17.15452358189584,22.535337244848844,0.18580389436437394,-55.421242493895186,48.45440854117684,25.430587876653213
IN,1749951989.8152075,27.047131147540984,30.763524590163936,39.73529411764706,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,45.248344575957546,45.22630572114589,47.988127719301765,28.193693615191126,-60.89324270926051,26.73555443216025,-20.145437591974407,18.406447629074115,12.058677145695777,-11.54867228868684
IA,1749951989.8152075,19.450333333333333,24.105666666666668,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,43.02411289038144,52.82310353535354,93.73492823870517,41.346122974280675,-8.554576948888444,49.52434615542326,-12.213624370638454,-101.13757486819195,145.51440835208842,92.81514465427101
KS,1749951989.8152075,29.99186046511628,34.17916666666666,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,42.94096386039908,42.2815764035706,-11.025439562165696,-19.764104219386773,-21.841333563939898,-14.297630964289278,-29.97923559620516,-35.23851061733495,102.52166572924259,80.88455783875804
KY,1749951989.8152075,33.62837837837838,37.40810810810811,45.599999999999994,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,48.54114225112495,38.64505849030849,-35.03004277252146,-4.1301821537255865,10.21663334666586,-9.665882577557843,37.19108538660256,13.5807371057443,-67.66776218320966,-38.19841511351635
LA,1749951989.8152075,48.78411214953271,52.33271028037383,59.17272727272727,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,52.19903873445677,36.13843686868687,-165.57925281336088,3.4646978915354403,71.2429806708635,-157.66556945848853,51.09766664170271,52.49190009660754,-246.21735644670008,-119.08418117047135
ME,1749951989.8152075,15.234415584415585,18.598051948051946,27.95194805194805,40.71883116883117,54.75,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,46.68482419792029,57.039021284271286,152.35367650144298,16.571979695387874,-20.665840838445032,187.37856459824144,21.6464022797753,45.64405265573507,128.21048433419028,-1.6112419623529608
MD,1749951989.8152075,33.11034482758621,35.82931034482759,43.47672413793103,53.87413793103449,62.949137931034485,71.90377358490565,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,46.57153484264271,39.16309204110066,-50.356615100743575,32.96298180210568,-3.5467401730056576,-7.437975766014778,-5.40981901736525,-0.9060618115516474,-87.1546836215157,-3.882730135157755
